customerid,transactions,price,quantity,country,date
759,Rice,600,20,Germany,6/20/2021
54,"Fish, Bananas, Cheese",2,13,United Kingdom,8/28/2022
340,Beef,,,United States,7/13/2020
615,"Cereal, Oranges",41,13,Canada,2/3/2024
522,"Cereal, Fish",85,13,Germany,10/11/2021
578,"Carrots, Milk, Pasta, Potatoes, Butter",94,14,United States,2/11/2023
383,"Grapes, Beef, Carrots, Eggs",48,1,Canada,3/3/2020
384,Rice,1,10,Canada,2/9/2024
364,"Onions, Chicken, Bananas",7,6,Canada,11/22/2024
585,"Potatoes, Pasta, Apples",22,11,United States,1/9/2023
340,"Bread, Fish, Grapes",34,9,United Kingdom,9/18/2022
987,"Bananas, Carrots, Potatoes, Chicken, Cheese",12,7,United States,4/11/2022
933,Cheese,35,1,Germany,2/25/2021
381,"Oranges, Cheese",79,11,Germany,9/23/2021
571,"Beef, Potatoes, Oranges, Lettuce, Bananas",84,10,United States,3/21/2021
613,Lettuce,72,11,United States,7/6/2021
78,"Carrots, Bananas, Milk, Eggs, Beef",75,5,United Kingdom,4/10/2021
775,Pasta,26,5,Canada,5/14/2021
941,Potatoes,94,17,Australia,2/23/2021
706,Butter,43,5,United States,9/15/2021
273,"Butter, Tomatoes",28,10,United Kingdom,6/5/2024
449,"Bread, Eggs, Apples, Cereal, Lettuce",13,12,Australia,4/2/2023
657,"Apples, Lettuce, Rice, Oranges",,,Canada,4/1/2022
527,"Bananas, Pasta, Oranges, Cereal",80,6,Australia,9/22/2020
780,Pasta,90,12,United States,10/31/2024
822,"Bananas, Potatoes, Apples",27,18,United States,10/12/2022
346,"Potatoes, Grapes, Lettuce",40,18,United Kingdom,2/19/2023
477,"Apples, Butter, Cheese",67,2,Canada,4/16/2020
255,"Eggs, Cheese, Rice",1,14,Canada,1/4/2021
542,"Eggs, Bananas, Cheese",30,19,Germany,9/29/2024
982,"Beef, Lettuce, Bananas",43,4,Australia,5/15/2022
813,"Lettuce, Eggs, Cereal, Chicken, Bread",77,11,Canada,8/23/2022
